工	コウ ・ ク ・ グ	craft; construction; katakana e radical (no. 48)	kanji
耳	ジ ・ みみ	ear	kanji
王	オウ ・ -ノウ	king; rule; magnate	kanji
先	セン ・ さき ・ ま.ず	before; ahead; previous; future; precedence	kanji
門	モン ・ かど ・ と	gate; counter for cannons	kanji
年	ネン ・ とし	year; counter for years	kanji
百	ヒャク ・ ビャク ・ もも	hundred	kanji
南	ナン ・ ナ ・ みなみ	south	kanji
千	セン ・ ち	thousand	kanji
左	サ ・ シャ ・ ひだり	left	kanji
本	ホン ・ もと	book; present; main; origin; true; real; counter for long cylindrical things	kanji
月	ゲツ ・ ガツ ・ つき	month; moon	kanji
外	ガイ ・ ゲ ・ そと ・ ほか ・ はず.す ・ はず.れる ・ と-	outside	kanji
毎	マイ ・ ごと ・ -ごと.に	every	kanji
人	ジン ・ ニン ・ ひと ・ -り ・ -と	person	kanji
行	コウ ・ ギョウ ・ アン ・ い.く ・ ゆ.く ・ -ゆ.き ・ -ゆき ・ -い.き ・ -いき ・ おこな.う ・ おこ.なう	going; journey	kanji
男	ダン ・ ナン ・ おとこ ・ お	male	kanji
力	リョク ・ リキ ・ リイ ・ ちから	power; strength; strong; strain; bear up; exert	kanji
今	コン ・ キン ・ いま	now	kanji
午	ゴ ・ うま	noon; sign of the horse; 11AM-1PM; seventh sign of Chinese zodiac	kanji
十	ジュウ ・ ジッ ・ ジュッ ・ とお ・ と	ten	kanji
良	リョウ ・ よ.い ・ -よ.い ・ い.い ・ -い.い	good; pleasing; skilled	kanji
五	ゴ ・ いつ ・ いつ.つ	five	kanji
待	タイ ・ ま.つ ・ -ま.ち	wait; depend on	kanji
刀	トウ ・ かたな ・ そり	sword; saber; knife	kanji
金	キン ・ コン ・ ゴン ・ かね ・ かな- ・ -がね	gold	kanji
母	ボ ・ はは ・ も	mother	kanji
週	シュウ	week	kanji
国	コク ・ くに	country	kanji
右	ウ ・ ユウ ・ みぎ	right	kanji
四	シ ・ よ ・ よ.つ ・ よっ.つ ・ よん	four	kanji
三	サン ・ ゾウ ・ み ・ み.つ ・ みっ.つ	three	kanji
一	イチ ・ イツ ・ ひと- ・ ひと.つ	one; one radical (no.1)	kanji
前	ゼン ・ まえ ・ -まえ	in front; before	kanji
間	カン ・ ケン ・ あいだ ・ ま ・ あい	interval; space	kanji
会	カイ ・ エ ・ あ.う ・ あ.わせる ・ あつ.まる	meeting; meet; party; association; interview; join	kanji
上	ジョウ ・ ショウ ・ シャン ・ うえ ・ -うえ ・ うわ- ・ かみ ・ あ.げる ・ -あ.げる ・ あ.がる ・ -あ.がる ・ あ.がり ・ -あ.がり ・ のぼ.る ・ のぼ.り ・ のぼ.せる ・ のぼ.す ・ よ.す	above; up	kanji
飲	イン ・ オン ・ の.む ・ -の.み	drink; smoke; take	kanji
子	シ ・ ス ・ ツ ・ こ ・ -こ ・ ね	child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac	kanji
話	ワ ・ はな.す ・ はなし	tale; talk	kanji
六	ロク ・ リク ・ む ・ む.つ ・ むっ.つ ・ むい	six	kanji
万	マン ・ バン ・ よろず	ten thousand; 10,000	kanji
食	ショク ・ ジキ ・ く.う ・ く.らう ・ た.べる ・ は.む	eat; food	kanji
生	セイ ・ ショウ ・ い.きる ・ い.かす ・ い.ける ・ う.まれる ・ うま.れる ・ う.まれ ・ うまれ ・ う.む ・ お.う ・ は.える ・ は.やす ・ き ・ なま ・ なま- ・ な.る ・ な.す ・ む.す ・	life; genuine; birth	kanji
来	ライ ・ タイ ・ く.る ・ きた.る ・ きた.す ・ き.たす ・ き.たる ・ き ・ こ	come; due; next; cause; become	kanji
学	ガク ・ まな.ぶ	study; learning; science	kanji
水	スイ ・ みず ・ みず-	water	kanji
後	ゴ ・ コウ ・ のち ・ うし.ろ ・ うしろ ・ あと ・ おく.れる	behind; back; later	kanji
寺	ジ ・ てら	Buddhist temple	kanji
北	ホク ・ きた	north	kanji
去	キョ ・ コ ・ さ.る ・ -さ.る	gone; past; quit; leave; elapse; eliminate; divorce	kanji
何	カ ・ なに ・ なん ・ なに- ・ なん-	what	kanji
目	モク ・ ボク ・ め ・ -め ・ ま-	eye; class; look; insight; experience; care; favor	kanji
火	カ ・ ひ ・ -び ・ ほ-	fire	kanji
時	ジ ・ とき ・ -どき	time; hour	kanji
西	セイ ・ サイ ・ ス ・ にし	west; Spain	kanji
九	キュウ ・ ク ・ ここの ・ ここの.つ	nine	kanji
見	ケン ・ み.る ・ み.える ・ み.せる	see; hopes; chances; idea; opinion; look at; visible	kanji
半	ハン ・ なか.ば	half; middle; odd number; semi-; part-	kanji
日	ニチ ・ ジツ ・ ひ ・ -び ・ -か	day; sun; Japan; counter for days	kanji
立	リツ ・ リュウ ・ リットル ・ た.つ ・ -た.つ ・ た.ち- ・ た.てる ・ -た.てる ・ た.て- ・ たて- ・ -た.て ・ -だ.て ・ -だ.てる	stand up; rise; set up; erect	kanji
周	シュウ ・ まわ.り	circumference; circuit; lap	kanji
東	トウ ・ ひがし	east	kanji
中	チュウ ・ なか ・ うち ・ あた.る	in; inside; middle; mean; center	kanji
下	カ ・ ゲ ・ した ・ しも ・ もと ・ さ.げる ・ さ.がる ・ くだ.る ・ くだ.り ・ くだ.す ・ -くだ.す ・ くだ.さる ・ お.ろす ・ お.りる	below; down; descend; give; low; inferior	kanji
七	シチ ・ なな ・ なな.つ ・ なの	seven	kanji
女	ジョ ・ ニョ ・ ニョウ ・ おんな ・ め	woman; female	kanji
分	ブン ・ フン ・ ブ ・ わ.ける ・ わ.け ・ わ.かれる ・ わ.かる ・ わ.かつ	part; minute of time; segment; share; degree; one's lot; duty; understand; know; rate; 1%; chances; shaku/100	kanji
米	ベイ ・ マイ ・ メエトル ・ こめ ・ よね	rice; USA; metre	kanji
円	エン ・ まる.い ・ まる ・ まど ・ まど.か ・ まろ.やか	circle; yen; round	kanji
父	フ ・ ちち	father	kanji
八	ハチ ・ や ・ や.つ ・ やっ.つ ・ よう	eight; eight radical (no. 12)	kanji
土	ド ・ ト ・ つち	soil; earth; ground; Turkey	kanji
木	ボク ・ モク ・ き ・ こ-	tree; wood	kanji
曜	ヨウ	weekday	kanji
口	コウ ・ ク ・ くち	mouth	kanji
言	ゲン ・ ゴン ・ い.う ・ こと	say	kanji
二	ニ ・ ジ ・ ふた ・ ふた.つ ・ ふたた.び	two; two radical (no.2)	kanji
聞	ブン ・ モン ・ き.く ・ き.こえる	hear; ask; listen	kanji
田	デン ・ た	rice field; rice paddy	kanji
